RSES Compilation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dates (Ma),,,,,,,,,,,,,Composition,,,,,Isotopic Ratios,,,,,,,,,,,,,,Fraction,,,
,,,206Pb/,,,,207Pb/,,,,207Pb/,,,,,,,,,,,,,,,,,206Pb/,,207Pb/,,,,,,
,206Pb/,+/-2sigma,238U,+/-2sigma,207Pb/,+/-2sigma,235U,+/-2sigma,207Pb/,+/-2sigma,206Pb,+/-2sigma,,mass,Th/,Pb*,Pbc,Pb*/,206Pb/,206Pb/,,207Pb/,,207Pb/,,208Pb/,,238U,,235U,,Corr.,,,,
Fraction   ,238U a,abs ,<Th> b,abs ,235U a,abs ,<Pa> c,abs ,206Pb a,abs ,<ThPa> bc,abs ,% disc d,U(μg) ,U e,(pg) f,(pg) g,Pbc h,204Pb i,238U j,+/-2sigma % ,235U j,+/-2sigma % ,206Pb j,+/-2sigma % ,232Th j,+/-2sigma % ,<Th> jb,+/-2sigma % ,<Pa> jc,+/-2sigma % ,coef. ,Fraction   , ,,
RSES100::zircon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
z1.11a L1 ,2082.93084323899,6.52047862300022,2083.00015752433,6.51974018361859,3158.33939419636,6.87413934656656,3158.33918380551,6.87414078379046,3937.07772279023,6.69048233130011,3937.01894921865,6.69128510319889,47.0944952094366,0.0000100877344100418,0.344745947668497,4.98868265856652,1.96433039461119,2.53963522239035,141.491509093092,0.381423717991653,0.36633674560616,21.4320457954707,0.70858780722664,0.407708710654815,0.44456726164347,     -,  -  ,0.381438571662213,0.36628493268176,21.4320411474743,0.70858796222657,0.84288110036233,z1.11a L1 ,true,, a  Isotopic dates calculated using lambda238 = 1.55125E-10 (Jaffey et al. 1971) and lambda235 = 9.8485E-10 (Jaffey et al. 1971).
z1.11b    ,4035.06235069475,1.15053259554946,4035.11173606321,1.15051911218068,4046.71246767367,0.55715634943292,4046.7123799622,0.55715642517787,4052.49662676652,0.53207587243313,4052.47195519562,0.53207867609639,0.4302107485203,0.000335842461060118,0.431975018659733,390.02440354679,3.54880311451289,109.903083085049,5191.58444098948,0.870001152453357,0.03836213487289,52.8070647600071,0.055910637811,0.440419213618431,0.01443937834567,     -,  -  ,0.870015478409939,0.03836134750338,52.8070601120109,0.05591064550346,0.774650358800854,z1.11b    ,true,, b  Corrected for initial Th/U disequilibrium using radiogenic 208Pb and Th/U[magma] = 2.80000.
z1.11b L1 ,1398.58427971942,2.44718436056258,1398.66001518359,2.44670725047837,2679.99766098509,4.00097480680731,2679.99732399217,4.00097619144924,3868.19864378749,4.18705763608689,3868.10730152078,4.18778183856243,63.8440419298112,0.0000655958962703159,0.387491715655643,20.5837964589368,4.70095065394516,4.37864550687472,230.842252294437,0.242288677920684,0.19464259676989,13.0047379368177,0.4243354228573,0.389459714948458,0.2758328103376,     -,  -  ,0.242303272990079,0.19459521291597,13.0047332888214,0.42433558053893,0.852343048824409,z1.11b L1 ,true,, c  Corrected for initial Pa/U disequilibrium using initial fraction activity ratio [231Pa]/[235U] = 1.10000.
z1.11c L1 ,740.37277603267,2.2747223267926,740.462459014492,2.27372294912823,2051.99905922746,6.61823124946795,2051.9984337305,6.61823544466948,3871.12770466805,7.57412960720223,3870.93339379287,7.57670876521167,80.8744936226237,0.000102629299681943,0.220495040485616,15.6738979134227,6.72565124734665,2.33046545784042,135.10563875774,0.121705535842113,0.32522110061958,6.54519754019529,0.75138043627299,0.39021726666142,0.50148046597429,     -,  -  ,0.121721141199464,0.32504106286334,6.54519289219897,0.75138098328071,0.854854251329599,z1.11c L1 ,true,, d  % discordance = 100 - (100 * (206Pb/238U date) / (207Pb/206Pb date))
z1.11c L2 ,3900.66849510091,14.9019658676073,3900.72061356336,14.9008059396039,3871.96213673094,11.3533549634133,3871.96203254725,11.3533561302399,3857.13225257646,11.4136186187145,3857.10522920907,11.4142893805749,-1.128720502009,0.0000129883461100414,0.352483864348554,13.7301741234778,8.90517547840695,1.54181960330489,94.6094046834365,0.831419227257176,0.50920547489232,44.2997679681269,1.14337536718583,0.38661210209656,0.75590914994724,     -,  -  ,0.831434034115282,0.50916088858386,44.2997633201305,1.14337548734302,0.853753412481152,z1.11c L2 ,true,, e  Th contents calculated from radiogenic 208Pb and 230Th-corrected 206Pb/238U date of the sample and  assuming concordance between U-Pb Th-Pb systems.
z1.11d    ,3908.55359582681,3.34230613621024,3908.60616708496,3.34227091770125,3970.33569326509,1.26335079032523,3970.33559870151,1.26335092213872,4001.69980436257,0.76992333093134,4001.67284740713,0.76993999356029,2.3276660691592,0.0000224927503053788,0.328198603397722,24.3717881232031,0.630608401058673,38.6480549296321,1886.75350374445,0.833660746366942,0.11404011746465,48.9081894992064,0.12696507536068,0.42568298392042,0.03982945601223,     -,  -  ,0.833675700144778,0.11403780025546,48.9081848512101,0.12696508884953,0.914170554136149,z1.11d    ,true,, f  Total mass of radiogenic Pb.
z1.11d L2 ,3771.09709526,19.036232904357,3771.15130626128,19.0349729599916,3902.43763423862,12.7013471296261,3902.43753313542,12.7013483959277,3970.62177113155,11.9041066756371,3970.59317941542,11.9048981827609,5.0250234691755,0.0000057068154682195,0.304875322799949,5.84130862792051,4.34803462170477,1.34343654918513,83.9763190376033,0.794975615022363,0.66675694771985,45.6799951761614,1.2782759790699,0.416933027053324,0.79411413068158,     -,  -  ,0.794990709900193,0.66670576473888,45.6799905281651,1.27827610929807,0.848804383100586,z1.11d L2 ,true,, g  Total mass of common Pb.
