,Blank-1,,,,,,,,,,,,,,TEA-5,,,,,,,,,,,,,,TEA-4,,,,,,,,,,,,,,TEA-3,,,,,,,,,,,,,,TEA-2,,,,,,,,,,,,,,TEA-1,,,,,,,,,,,,,,TEA-0,,,,,,,,,,,,,,Blank-2,,,,,,,,,,,,,,RSES100 z1.11a L1,,,,,,,,,,,,,,RSES100 z1.11a L2,,,,,,,,,,,,,,RSES100 z1.11a R,,,,,,,,,,,,,,RSES100 z1.11b L1,,,,,,,,,,,,,,RSES100 z1.11b L2,,,,,,,,,,,,,,RSES100 z1.11b R,,,,,,,,,,,,,,RSES100 z1.11c L1,,,,,,,,,,,,,,RSES100 z1.11c L2,,,,,,,,,,,,,,Blank-3,,,,,,,,,,,,,,RSES100 z1.11c R,,,,,,,,,,,,,,RSES100 z1.12a L1,,,,,,,,,,,,,,RSES100 z1.12a L2,,,,,,,,,,,,,,RSES100 z1.12a R,,,,,,,,,,,,,,RSES100 z1.12b L1,,,,,,,,,,,,,,RSES100 z1.12b L2,,,,,,,,,,,,,,RSES100 z1.12b R,,,,,,,,,,,,,,RSES100 z1.18 L1,,,,,,,,,,,,,,Blank-4,,,,,,,,,,,,,,RSES100 z1.18 L2,,,,,,,,,,,,,,RSES100 z1.18 R,,,,,,,,,,,,,,RSES100 z3.2a L1,,,,,,,,,,,,,,RSES100 z3.2a L2,,,,,,,,,,,,,,RSES100 z3.2a R,,,,,,,,,,,,,,RSES100 z3.2b L1,,,,,,,,,,,,,,RSES100 z3.2b L2,,,,,,,,,,,,,,RSES100 z3.2b R,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isotope,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,
,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sc45(LR),-,,387591.2,,13172.6,,3.40,,,,,,,,-,,406125.2,,5342.9,,1.32,,,,,,,,-,,392468.4,,10272.3,,2.62,,,,,,,,-,,402722.0,,3861.9,,0.96,,,,,,,,-,,472286.8,,1863.9,,0.39,,,,,,,,-,,679472.0,,7584.7,,1.12,,,,,,,,-,,1253198.4,,21729.1,,1.73,,,,,,,,-,,385700.4,,1701.0,,0.44,,,,,,,,-,,362810.8,,15094.2,,4.16,,-173.088,ppt,-173.088,ppt,103.97,,-,,357447.6,,6952.8,,1.95,,-237.028,ppt,-237.028,ppt,34.97,,-,,372974.8,,9215.6,,2.47,,-51.911,ppt,-51.911,ppt,211.65,,-,,361306.0,,8663.5,,2.40,,-191.028,ppt,-191.028,ppt,54.07,,-,,350627.6,,2140.0,,0.61,,-318.337,ppt,-318.337,ppt,8.01,,-,,485533.2,,3863.1,,0.80,,1290.024,ppt,1290.024,ppt,3.57,,-,,358487.6,,1215.7,,0.34,,-224.629,ppt,-224.629,ppt,6.45,,-,,364092.0,,15610.7,,4.29,,-157.813,ppt,-157.813,ppt,117.93,,-,,361818.0,,27620.7,,7.63,,,,,,,,-,,344958.4,,4569.6,,1.32,,-101.197,ppt,-101.197,ppt,53.83,,-,,349103.6,,14810.2,,4.24,,-51.778,ppt,-51.778,ppt,341.01,,-,,360150.8,,14984.4,,4.16,,79.928,ppt,79.928,ppt,223.51,,-,,352276.4,,7699.5,,2.19,,-13.951,ppt,-13.951,ppt,657.97,,-,,355333.2,,4531.7,,1.28,,22.492,ppt,22.492,ppt,240.20,,-,,351842.8,,14252.4,,4.05,,-19.121,ppt,-19.121,ppt,888.67,,-,,342651.2,,7008.8,,2.05,,-128.704,ppt,-128.704,ppt,64.92,,-,,378464.4,,9162.4,,2.42,,298.265,ppt,298.265,ppt,36.62,,-,,385006.8,,745.0,,0.19,,,,,,,,-,,446666.0,,9756.4,,2.18,,834.914,ppt,834.914,ppt,13.93,,-,,573832.0,,19188.0,,3.34,,2351.003,ppt,2351.003,ppt,9.73,,-,,447868.8,,21459.8,,4.79,,849.254,ppt,849.254,ppt,30.13,,-,,435314.8,,25296.9,,5.81,,699.583,ppt,699.583,ppt,43.11,,-,,431778.4,,22505.2,,5.21,,657.422,ppt,657.422,ppt,40.81,,-,,467317.2,,14500.2,,3.10,,1081.120,ppt,1081.120,ppt,15.99,,-,,381462.0,,5665.3,,1.49,,57.543,ppt,57.543,ppt,117.38,,-,,416386.4,,15356.1,,3.69,,473.916,ppt,473.916,ppt,38.63,,
Ti48(LR),-,,22779.5,,879.4,,3.86,,,,,,,,-,,27150.3,,4612.5,,16.99,,,,,,,,-,,27806.3,,2653.3,,9.54,,,,,,,,-,,27985.8,,448.0,,1.60,,,,,,,,-,,28571.3,,1254.5,,4.39,,,,,,,,-,,25180.1,,2695.5,,10.70,,,,,,,,-,,17134.2,,516.5,,3.01,,,,,,,,-,,24010.4,,3158.0,,13.15,,,,,,,,-,,33887.7,,1137.4,,3.36,,-39.462,ppt,-39.462,ppt,26.85,,-,,34378.4,,5082.4,,14.78,,-44.033,ppt,-44.033,ppt,107.53,,-,,28357.2,,2006.9,,7.08,,12.064,ppt,12.064,ppt,154.99,,-,,31838.2,,2788.0,,8.76,,-20.368,ppt,-20.368,ppt,127.53,,-,,36767.4,,2300.3,,6.26,,-66.291,ppt,-66.291,ppt,32.33,,-,,42590.8,,1861.2,,4.37,,-120.546,ppt,-120.546,ppt,14.39,,-,,38348.6,,20.6,,0.05,,-81.023,ppt,-81.023,ppt,0.24,,-,,33895.9,,505.9,,1.49,,-39.538,ppt,-39.538,ppt,11.92,,-,,22764.9,,648.6,,2.85,,,,,,,,-,,44547.6,,2882.0,,6.47,,-150.380,ppt,-150.380,ppt,17.86,,-,,325726.0,,10233.8,,3.14,,-2770.022,ppt,-2770.022,ppt,3.44,,-,,59428.1,,274.5,,0.46,,-289.017,ppt,-289.017,ppt,0.88,,-,,34497.9,,3091.4,,8.96,,-56.750,ppt,-56.750,ppt,50.75,,-,,30106.4,,2056.8,,6.83,,-15.836,ppt,-15.836,ppt,121.00,,-,,99114.5,,1254.8,,1.27,,-658.761,ppt,-658.761,ppt,1.77,,-,,27313.7,,1065.6,,3.90,,10.183,ppt,10.183,ppt,97.50,,-,,47483.9,,2368.9,,4.99,,-177.737,ppt,-177.737,ppt,12.42,,-,,25595.0,,794.8,,3.11,,,,,,,,-,,49979.4,,2480.2,,4.96,,-174.620,ppt,-174.620,ppt,13.23,,-,,43752.9,,2001.4,,4.57,,-116.610,ppt,-116.610,ppt,15.99,,-,,37695.3,,1052.2,,2.79,,-60.173,ppt,-60.173,ppt,16.29,,-,,34001.5,,306.9,,0.90,,-25.759,ppt,-25.759,ppt,11.10,,-,,32869.8,,1123.8,,3.42,,-15.216,ppt,-15.216,ppt,68.81,,-,,48240.9,,599.8,,1.24,,-158.423,ppt,-158.423,ppt,3.53,,-,,31122.5,,948.0,,3.05,,1.064,ppt,1.064,ppt,830.38,,-,,35085.9,,4514.8,,12.87,,-35.863,ppt,-35.863,ppt,117.29,,
Ti49(LR),-,,17748.8,,787.2,,4.44,,,,,,,,-,,17365.9,,1492.7,,8.60,,,,,,,,-,,16418.8,,929.7,,5.66,,,,,,,,-,,15967.9,,655.5,,4.11,,,,,,,,-,,15237.4,,306.2,,2.01,,,,,,,,-,,11872.6,,220.8,,1.86,,,,,,,,-,,3812.9,,288.5,,7.57,,,,,,,,-,,15511.9,,1271.6,,8.20,,,,,,,,-,,15665.5,,406.1,,2.59,,-8.709,ppt,-8.709,ppt,36.24,,-,,15766.4,,1382.1,,8.77,,-9.493,ppt,-9.493,ppt,113.17,,-,,15547.3,,217.1,,1.40,,-7.790,ppt,-7.790,ppt,21.66,,-,,15824.3,,744.5,,4.70,,-9.943,ppt,-9.943,ppt,58.20,,-,,16020.7,,473.9,,2.96,,-11.470,ppt,-11.470,ppt,32.12,,-,,18862.3,,1200.6,,6.37,,-33.557,ppt,-33.557,ppt,27.81,,-,,16494.3,,1214.7,,7.36,,-15.151,ppt,-15.151,ppt,62.32,,-,,16053.5,,570.0,,3.55,,-11.724,ppt,-11.724,ppt,37.79,,-,,14411.3,,477.4,,3.31,,,,,,,,-,,16406.2,,1994.9,,12.16,,-23.021,ppt,-23.021,ppt,67.36,,-,,39152.5,,781.1,,2.00,,-199.822,ppt,-199.822,ppt,3.04,,-,,17111.5,,591.2,,3.46,,-28.503,ppt,-28.503,ppt,16.12,,-,,16000.6,,815.7,,5.10,,-19.868,ppt,-19.868,ppt,31.91,,-,,15222.3,,1553.1,,10.20,,-13.819,ppt,-13.819,ppt,87.36,,-,,20862.7,,538.0,,2.58,,-57.660,ppt,-57.660,ppt,7.25,,-,,14723.5,,455.9,,3.10,,-9.942,ppt,-9.942,ppt,35.65,,-,,17622.9,,1521.2,,8.63,,-32.478,ppt,-32.478,ppt,36.41,,-,,15121.5,,277.8,,1.84,,,,,,,,-,,20462.2,,826.7,,4.04,,-49.027,ppt,-49.027,ppt,13.11,,-,,23054.8,,1236.6,,5.36,,-69.179,ppt,-69.179,ppt,13.89,,-,,19524.8,,384.7,,1.97,,-41.742,ppt,-41.742,ppt,7.16,,-,,18754.0,,85.5,,0.46,,-35.750,ppt,-35.750,ppt,1.86,,-,,17806.8,,783.9,,4.40,,-28.388,ppt,-28.388,ppt,21.46,,-,,19174.7,,317.1,,1.65,,-39.020,ppt,-39.020,ppt,6.32,,-,,16698.4,,334.8,,2.01,,-19.772,ppt,-19.772,ppt,13.16,,-,,17932.8,,655.5,,3.66,,-29.367,ppt,-29.367,ppt,17.35,,
Mn55(LR),-,,4356.7,,203.0,,4.66,,,,,,,,-,,5101.9,,203.0,,3.98,,,,,,,,-,,5147.1,,174.4,,3.39,,,,,,,,-,,5033.8,,128.2,,2.55,,,,,,,,-,,5411.5,,227.9,,4.21,,,,,,,,-,,7148.7,,121.0,,1.69,,,,,,,,-,,12424.1,,245.8,,1.98,,,,,,,,-,,4014.3,,338.2,,8.42,,,,,,,,-,,6234.9,,324.0,,5.20,,16.394,ppt,16.394,ppt,18.26,,-,,6479.0,,42.8,,0.66,,18.649,ppt,18.649,ppt,2.12,,-,,5018.7,,199.3,,3.97,,5.158,ppt,5.158,ppt,35.70,,-,,6151.7,,306.2,,4.98,,15.626,ppt,15.626,ppt,18.10,,-,,10762.0,,17.7,,0.16,,58.219,ppt,58.219,ppt,0.28,,-,,4704.1,,46.2,,0.98,,2.252,ppt,2.252,ppt,18.97,,-,,5610.4,,331.1,,5.90,,10.624,ppt,10.624,ppt,28.79,,-,,4459.9,,57.0,,1.28,,-0.004,ppt,-0.004,ppt,13362.13,,-,,3971.6,,242.1,,6.10,,,,,,,,-,,8810.5,,156.7,,1.78,,40.585,ppt,40.585,ppt,3.57,,-,,6101.4,,192.1,,3.15,,15.556,ppt,15.556,ppt,11.41,,-,,6277.5,,128.2,,2.04,,17.183,ppt,17.183,ppt,6.89,,-,,4200.6,,195.8,,4.66,,-2.005,ppt,-2.005,ppt,90.20,,-,,4477.5,,60.4,,1.35,,0.553,ppt,0.553,ppt,100.82,,-,,18456.7,,149.6,,0.81,,129.701,ppt,129.701,ppt,1.07,,-,,3981.7,,49.9,,1.25,,-4.028,ppt,-4.028,ppt,11.43,,-,,8954.0,,25.0,,0.28,,41.910,ppt,41.910,ppt,0.55,,-,,3475.6,,160.3,,4.61,,,,,,,,-,,4303.8,,7.2,,0.17,,3.531,ppt,3.531,ppt,1.89,,-,,3475.6,,96.1,,2.76,,-4.121,ppt,-4.121,ppt,21.53,,-,,3508.3,,57.0,,1.63,,-3.819,ppt,-3.819,ppt,13.80,,-,,3528.5,,177.9,,5.04,,-3.632,ppt,-3.632,ppt,45.26,,-,,3654.3,,49.7,,1.36,,-2.470,ppt,-2.470,ppt,18.61,,-,,7435.7,,42.7,,0.57,,32.465,ppt,32.465,ppt,1.21,,-,,3875.8,,156.8,,4.04,,-0.423,ppt,-0.423,ppt,342.27,,-,,3377.5,,78.2,,2.32,,-5.027,ppt,-5.027,ppt,14.38,,
