,Blank-1,,,,,,,,,,,,,,TEA-5,,,,,,,,,,,,,,TEA-4,,,,,,,,,,,,,,TEA-3,,,,,,,,,,,,,,TEA-2,,,,,,,,,,,,,,TEA-1,,,,,,,,,,,,,,TEA-0,,,,,,,,,,,,,,Blank-2,,,,,,,,,,,,,,RSES60 z7.7 L1,,,,,,,,,,,,,,RSES60 z7.7 L2,,,,,,,,,,,,,,RSES60 z7.7 R,,,,,,,,,,,,,,RSES60 z7.19a L1,,,,,,,,,,,,,,RSES60 z7.19a L2,,,,,,,,,,,,,,RSES60 z7.19a R,,,,,,,,,,,,,,RSES60 z7.19b L1,,,,,,,,,,,,,,RSES60 z7.19b L2,,,,,,,,,,,,,,Blank-3,,,,,,,,,,,,,,RSES60 z7.19b R,,,,,,,,,,,,,,RSES60 z7.19c L1,,,,,,,,,,,,,,RSES60 z7.19c L2,,,,,,,,,,,,,,RSES60 z7.19c R,,,,,,,,,,,,,,RSES60 z7.19d L1,,,,,,,,,,,,,,RSES60 z7.19d L2,,,,,,,,,,,,,,RSES60 z7.19d R,,,,,,,,,,,,,,RSES60 z9.11 L1,,,,,,,,,,,,,,Blank-4,,,,,,,,,,,,,,RSES60 z9.11 L2,,,,,,,,,,,,,,RSES60 z9.11 R,,,,,,,,,,,,,,RSES60 z10.19 L1,,,,,,,,,,,,,,RSES60 z10.19 L2,,,,,,,,,,,,,,RSES60 z10.19 R,,,,,,,,,,,,,,RSES60 z16.1 L1,,,,,,,,,,,,,,RSES60 z16.1 L2,,,,,,,,,,,,,,RSES60 z16.1 R,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isotope,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,
,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sc45(LR),-,,603016.8,,55246.0,,9.16,,,,,,,,-,,612271.2,,67102.7,,10.96,,,,,,,,-,,403709.6,,14342.4,,3.55,,,,,,,,-,,459254.0,,35912.5,,7.82,,,,,,,,-,,626641.6,,40718.0,,6.50,,,,,,,,-,,864669.6,,10735.6,,1.24,,,,,,,,-,,1489758.4,,21448.5,,1.44,,,,,,,,-,,553829.6,,13706.6,,2.47,,,,,,,,-,,546677.6,,3662.2,,0.67,,1140.381,ppt,1140.381,ppt,3.29,,-,,513438.0,,29398.1,,5.73,,799.899,ppt,799.899,ppt,37.65,,-,,617592.0,,8261.3,,1.34,,1866.777,ppt,1866.777,ppt,4.53,,-,,527987.6,,1208.9,,0.23,,948.934,ppt,948.934,ppt,1.30,,-,,487640.8,,13771.0,,2.82,,535.651,ppt,535.651,ppt,26.33,,-,,699030.4,,15259.9,,2.18,,2700.973,ppt,2700.973,ppt,5.79,,-,,508330.0,,5018.2,,0.99,,747.576,ppt,747.576,ppt,6.88,,-,,455444.4,,3476.1,,0.76,,205.854,ppt,205.854,ppt,17.30,,-,,420893.6,,3520.8,,0.84,,,,,,,,-,,608808.0,,9521.6,,1.56,,3138.501,ppt,3138.501,ppt,3.11,,-,,484942.4,,1313.5,,0.27,,1869.711,ppt,1869.711,ppt,0.72,,-,,453594.4,,5185.1,,1.14,,1548.605,ppt,1548.605,ppt,3.43,,-,,451133.6,,4679.3,,1.04,,1523.398,ppt,1523.398,ppt,3.15,,-,,434030.0,,19470.3,,4.49,,1348.201,ppt,1348.201,ppt,14.79,,-,,389838.0,,3159.4,,0.81,,895.530,ppt,895.530,ppt,3.61,,-,,434026.0,,11067.6,,2.55,,1348.160,ppt,1348.160,ppt,8.41,,-,,407624.0,,4346.7,,1.07,,1077.717,ppt,1077.717,ppt,4.13,,-,,405373.2,,23924.5,,5.90,,,,,,,,-,,404538.0,,1116.1,,0.28,,1205.086,ppt,1205.086,ppt,0.95,,-,,405182.0,,5664.2,,1.40,,1211.683,ppt,1211.683,ppt,4.79,,-,,527292.0,,10035.3,,1.90,,2462.489,ppt,2462.489,ppt,4.17,,-,,524564.4,,14615.6,,2.79,,2434.550,ppt,2434.550,ppt,6.15,,-,,6069221.0,,7362416.4,,121.31,,59230.009,ppt,59230.009,ppt,127.33,,-,,491428.0,,83560.8,,17.00,,2095.124,ppt,2095.124,ppt,40.85,,-,,326864.0,,17067.9,,5.22,,409.450,ppt,409.450,ppt,42.70,,-,,472397.6,,4552.6,,0.96,,1900.191,ppt,1900.191,ppt,2.45,,
Ti48(LR),-,,25753.7,,1290.0,,5.01,,,,,,,,-,,30617.3,,3934.2,,12.85,,,,,,,,-,,22598.9,,676.9,,3.00,,,,,,,,-,,22510.8,,915.5,,4.07,,,,,,,,-,,25792.0,,2641.6,,10.24,,,,,,,,-,,24317.6,,691.8,,2.84,,,,,,,,-,,17255.1,,744.6,,4.32,,,,,,,,-,,22104.8,,335.0,,1.52,,,,,,,,-,,42651.0,,249.2,,0.58,,-249.321,ppt,-249.321,ppt,1.23,,-,,38194.7,,4062.2,,10.64,,-194.687,ppt,-194.687,ppt,25.58,,-,,34939.1,,1847.1,,5.29,,-154.774,ppt,-154.774,ppt,14.63,,-,,77838.4,,603.6,,0.78,,-680.718,ppt,-680.718,ppt,1.09,,-,,32370.5,,788.6,,2.44,,-123.283,ppt,-123.283,ppt,7.84,,-,,43765.7,,2118.8,,4.84,,-262.987,ppt,-262.987,ppt,9.88,,-,,80274.6,,1204.3,,1.50,,-710.585,ppt,-710.585,ppt,2.08,,-,,42624.7,,797.1,,1.87,,-248.999,ppt,-248.999,ppt,3.92,,-,,22682.3,,110.7,,0.49,,,,,,,,-,,47423.4,,2340.6,,4.94,,-300.752,ppt,-300.752,ppt,9.54,,-,,68481.6,,2089.0,,3.05,,-558.925,ppt,-558.925,ppt,4.58,,-,,30114.2,,71.2,,0.24,,-88.541,ppt,-88.541,ppt,0.99,,-,,34670.4,,233.1,,0.67,,-144.401,ppt,-144.401,ppt,1.98,,-,,35983.3,,2182.9,,6.07,,-160.496,ppt,-160.496,ppt,16.67,,-,,30371.9,,2018.3,,6.65,,-91.701,ppt,-91.701,ppt,26.98,,-,,28778.0,,1240.4,,4.31,,-72.160,ppt,-72.160,ppt,21.07,,-,,41400.7,,4159.7,,10.05,,-226.914,ppt,-226.914,ppt,22.47,,-,,24307.1,,2393.0,,9.84,,,,,,,,-,,34203.3,,3037.9,,8.88,,-118.753,ppt,-118.753,ppt,31.36,,-,,42369.4,,2160.4,,5.10,,-218.869,ppt,-218.869,ppt,12.10,,-,,77974.7,,2583.3,,3.31,,-655.389,ppt,-655.389,ppt,4.83,,-,,53390.8,,1837.8,,3.44,,-353.991,ppt,-353.991,ppt,6.36,,-,,1419681.4,,1913281.9,,134.77,,-17104.666,ppt,-17104.666,ppt,137.14,,-,,59585.3,,5522.1,,9.27,,-429.935,ppt,-429.935,ppt,15.75,,-,,49935.3,,1666.4,,3.34,,-311.627,ppt,-311.627,ppt,6.56,,-,,46237.9,,2782.7,,6.02,,-266.297,ppt,-266.297,ppt,12.81,,
Ti49(LR),-,,17564.9,,904.9,,5.15,,,,,,,,-,,16630.4,,936.8,,5.63,,,,,,,,-,,10976.2,,1082.7,,9.86,,,,,,,,-,,11968.4,,1524.3,,12.74,,,,,,,,-,,12930.4,,1332.2,,10.30,,,,,,,,-,,10857.7,,3.6,,0.03,,,,,,,,-,,3362.4,,156.7,,4.66,,,,,,,,-,,13688.3,,445.2,,3.25,,,,,,,,-,,15486.8,,509.2,,3.29,,-57.126,ppt,-57.126,ppt,8.98,,-,,15864.5,,1207.6,,7.61,,-60.932,ppt,-60.932,ppt,19.97,,-,,17010.7,,1275.3,,7.50,,-72.482,ppt,-72.482,ppt,17.73,,-,,18474.3,,1279.1,,6.92,,-87.230,ppt,-87.230,ppt,14.78,,-,,14375.9,,242.2,,1.68,,-45.932,ppt,-45.932,ppt,5.31,,-,,18524.7,,1164.9,,6.29,,-87.737,ppt,-87.737,ppt,13.38,,-,,18879.8,,35.8,,0.19,,-91.316,ppt,-91.316,ppt,0.39,,-,,14907.4,,837.1,,5.62,,-51.288,ppt,-51.288,ppt,16.45,,-,,13129.3,,587.7,,4.48,,,,,,,,-,,19341.0,,231.5,,1.20,,-101.597,ppt,-101.597,ppt,2.30,,-,,17544.8,,349.1,,1.99,,-83.497,ppt,-83.497,ppt,4.21,,-,,14119.1,,527.2,,3.73,,-48.978,ppt,-48.978,ppt,10.85,,-,,14401.2,,49.7,,0.35,,-51.820,ppt,-51.820,ppt,0.97,,-,,14277.7,,302.7,,2.12,,-50.576,ppt,-50.576,ppt,6.03,,-,,13668.3,,723.1,,5.29,,-44.436,ppt,-44.436,ppt,16.40,,-,,14290.4,,1132.7,,7.93,,-50.704,ppt,-50.704,ppt,22.51,,-,,15630.3,,1154.1,,7.38,,-64.206,ppt,-64.206,ppt,18.11,,-,,13177.1,,1075.6,,8.16,,,,,,,,-,,14658.1,,1047.2,,7.14,,-53.927,ppt,-53.927,ppt,19.57,,-,,15154.3,,659.1,,4.35,,-58.927,ppt,-58.927,ppt,11.27,,-,,20792.1,,1143.7,,5.50,,-115.737,ppt,-115.737,ppt,9.96,,-,,18771.6,,1385.9,,7.38,,-95.377,ppt,-95.377,ppt,14.64,,-,,981875.4,,1352951.8,,137.79,,-9800.157,ppt,-9800.157,ppt,139.11,,-,,53833.3,,2812.4,,5.22,,-448.679,ppt,-448.679,ppt,6.32,,-,,34365.5,,6946.1,,20.21,,-252.510,ppt,-252.510,ppt,27.72,,-,,24256.9,,327.9,,1.35,,-150.650,ppt,-150.650,ppt,2.19,,
Mn55(LR),-,,5555.0,,3.6,,0.06,,,,,,,,-,,5927.6,,146.1,,2.46,,,,,,,,-,,5600.4,,316.9,,5.66,,,,,,,,-,,5313.3,,89.1,,1.68,,,,,,,,-,,5826.9,,46.2,,0.79,,,,,,,,-,,6713.1,,96.2,,1.43,,,,,,,,-,,12207.5,,559.2,,4.58,,,,,,,,-,,3634.1,,28.6,,0.79,,,,,,,,-,,7531.4,,405.9,,5.39,,43.927,ppt,43.927,ppt,9.64,,-,,4429.7,,114.0,,2.57,,11.572,ppt,11.572,ppt,10.27,,-,,3571.3,,81.8,,2.29,,2.618,ppt,2.618,ppt,32.60,,-,,14154.4,,527.1,,3.72,,113.013,ppt,113.013,ppt,4.87,,-,,65936.0,,903.3,,1.37,,653.166,ppt,653.166,ppt,1.44,,-,,3802.9,,60.5,,1.59,,5.033,ppt,5.033,ppt,12.54,,-,,6141.6,,106.8,,1.74,,29.429,ppt,29.429,ppt,3.79,,-,,3581.3,,17.9,,0.50,,2.721,ppt,2.721,ppt,6.86,,-,,3228.9,,117.6,,3.64,,,,,,,,-,,7168.8,,356.1,,4.97,,44.372,ppt,44.372,ppt,8.37,,-,,5049.0,,178.0,,3.53,,22.259,ppt,22.259,ppt,8.34,,-,,3128.2,,138.8,,4.44,,2.223,ppt,2.223,ppt,65.13,,-,,4316.4,,181.5,,4.20,,14.617,ppt,14.617,ppt,12.95,,-,,4965.8,,224.2,,4.52,,21.392,ppt,21.392,ppt,10.93,,-,,5829.4,,156.7,,2.69,,30.400,ppt,30.400,ppt,5.38,,-,,3032.7,,39.0,,1.29,,1.226,ppt,1.226,ppt,33.21,,-,,8344.6,,188.7,,2.26,,56.637,ppt,56.637,ppt,3.47,,-,,2755.7,,60.6,,2.20,,,,,,,,-,,4160.3,,203.0,,4.88,,17.925,ppt,17.925,ppt,11.81,,-,,20207.6,,587.9,,2.91,,185.320,ppt,185.320,ppt,3.31,,-,,6287.6,,199.4,,3.17,,40.116,ppt,40.116,ppt,5.19,,-,,10175.3,,28.5,,0.28,,80.670,ppt,80.670,ppt,0.37,,-,,49207.8,,39191.8,,79.65,,487.832,ppt,487.832,ppt,83.80,,-,,23027.2,,2615.6,,11.36,,214.732,ppt,214.732,ppt,12.71,,-,,11902.7,,370.3,,3.11,,98.689,ppt,98.689,ppt,3.91,,-,,13514.7,,577.0,,4.27,,115.504,ppt,115.504,ppt,5.21,,
