,Blank-1,,,,,,,,,,,,,,TEA-5,,,,,,,,,,,,,,TEA-4,,,,,,,,,,,,,,TEA-3,,,,,,,,,,,,,,TEA-2,,,,,,,,,,,,,,TEA-1,,,,,,,,,,,,,,TEA-0,,,,,,,,,,,,,,Blank-2,,,,,,,,,,,,,,RSES58 z3.4a L3,,,,,,,,,,,,,,RSES58 z3.4a R,,,,,,,,,,,,,,RSES58 z3.4b L3,,,,,,,,,,,,,,RSES58 z3.4b R,,,,,,,,,,,,,,RSES58 z3.4c L3,,,,,,,,,,,,,,RSES58 z3.4c R,,,,,,,,,,,,,,RSES58 z3.4d L3,,,,,,,,,,,,,,RSES58 z3.4d R,,,,,,,,,,,,,,Blank-3,,,,,,,,,,,,,,RSES58 z3.4e L3,,,,,,,,,,,,,,RSES58 z3.4e R,,,,,,,,,,,,,,RSES58 z4.19a L3,,,,,,,,,,,,,,RSES58 z4.19a R,,,,,,,,,,,,,,RSES58 z4.19b L3,,,,,,,,,,,,,,RSES58 z4.19b R,,,,,,,,,,,,,,RSES58 z4.19c L3,,,,,,,,,,,,,,RSES58 z4.19c R,,,,,,,,,,,,,,Blank-4,,,,,,,,,,,,,,RSES58 z4.19d L3,,,,,,,,,,,,,,RSES58 z4.19d R,,,,,,,,,,,,,,RSES58 z4.19e L3,,,,,,,,,,,,,,RSES58 z4.19e R,,,,,,,,,,,,,,RSES58 z6.10a L3,,,,,,,,,,,,,,RSES58 z6.10a R,,,,,,,,,,,,,,RSES58 z6.10b L3,,,,,,,,,,,,,,RSES58 z6.10b R,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isotope,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,
,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sc45(LR),-,,225681.4,,23365.4,,10.35,,,,,,,,-,,649648.0,,4539.1,,0.70,,,,,,,,-,,535718.4,,12516.4,,2.34,,,,,,,,-,,529028.8,,23908.1,,4.52,,,,,,,,-,,560779.2,,3543.5,,0.63,,,,,,,,-,,871896.0,,46033.2,,5.28,,,,,,,,-,,1775361.6,,9220.7,,0.52,,,,,,,,-,,166259.6,,15954.6,,9.60,,,,,,,,-,,467976.8,,8316.7,,1.78,,181.710,ppt,181.710,ppt,38.47,,-,,696613.6,,26832.7,,3.85,,2103.560,ppt,2103.560,ppt,10.72,,-,,474696.8,,6014.4,,1.27,,238.197,ppt,238.197,ppt,21.22,,-,,621828.0,,16985.3,,2.73,,1474.935,ppt,1474.935,ppt,9.68,,-,,479787.2,,1221.9,,0.25,,280.985,ppt,280.985,ppt,3.66,,-,,499890.4,,36926.8,,7.39,,449.966,ppt,449.966,ppt,68.98,,-,,457893.2,,14478.7,,3.16,,96.951,ppt,96.951,ppt,125.53,,-,,480832.0,,7912.8,,1.65,,289.767,ppt,289.767,ppt,22.95,,-,,156300.2,,19108.0,,12.23,,,,,,,,-,,481952.4,,6426.8,,1.33,,382.900,ppt,382.900,ppt,14.11,,-,,459850.8,,4640.3,,1.01,,197.121,ppt,197.121,ppt,19.79,,-,,452278.4,,2886.1,,0.64,,133.470,ppt,133.470,ppt,18.18,,-,,464482.8,,3565.5,,0.77,,236.057,ppt,236.057,ppt,12.70,,-,,439446.0,,8938.4,,2.03,,25.605,ppt,25.605,ppt,293.43,,-,,583152.8,,14699.9,,2.52,,1233.559,ppt,1233.559,ppt,10.02,,-,,451793.6,,13034.5,,2.89,,129.395,ppt,129.395,ppt,84.67,,-,,425699.2,,15473.8,,3.63,,-89.946,ppt,-89.946,ppt,144.61,,-,,142217.5,,10980.7,,7.72,,,,,,,,-,,438654.0,,12707.0,,2.90,,137.322,ppt,137.322,ppt,77.78,,-,,396259.6,,3653.8,,0.92,,-219.032,ppt,-219.032,ppt,14.02,,-,,403976.8,,10172.2,,2.52,,-154.163,ppt,-154.163,ppt,55.46,,-,,401189.6,,247.8,,0.06,,-177.592,ppt,-177.592,ppt,1.17,,-,,423771.6,,6582.9,,1.55,,12.226,ppt,12.226,ppt,452.60,,-,,737788.8,,19176.7,,2.60,,2651.756,ppt,2651.756,ppt,6.08,,-,,427340.8,,2261.6,,0.53,,42.227,ppt,42.227,ppt,45.02,,-,,410710.0,,10600.4,,2.58,,-97.566,ppt,-97.566,ppt,91.33,,
Ti48(LR),-,,1817.4,,78.0,,4.29,,,,,,,,-,,58409.1,,426.3,,0.73,,,,,,,,-,,49018.2,,1313.6,,2.68,,,,,,,,-,,44674.2,,799.5,,1.79,,,,,,,,-,,46192.3,,71.2,,0.15,,,,,,,,-,,40359.9,,454.2,,1.13,,,,,,,,-,,31404.4,,780.3,,2.48,,,,,,,,-,,1195.1,,111.4,,9.32,,,,,,,,-,,52437.6,,49.1,,0.09,,-15.008,ppt,-15.008,ppt,1.67,,-,,85509.1,,2915.1,,3.41,,-183.186,ppt,-183.186,ppt,8.09,,-,,59179.4,,53.9,,0.09,,-49.292,ppt,-49.292,ppt,0.56,,-,,68973.4,,859.4,,1.25,,-99.097,ppt,-99.097,ppt,4.41,,-,,55337.9,,1083.2,,1.96,,-29.757,ppt,-29.757,ppt,18.51,,-,,57667.7,,1374.8,,2.38,,-41.604,ppt,-41.604,ppt,16.80,,-,,64811.1,,2064.6,,3.19,,-77.931,ppt,-77.931,ppt,13.47,,-,,58171.5,,542.7,,0.93,,-44.166,ppt,-44.166,ppt,6.25,,-,,1221.5,,21.2,,1.74,,,,,,,,-,,52482.5,,596.6,,1.14,,-15.102,ppt,-15.102,ppt,20.09,,-,,54540.6,,4550.5,,8.34,,-25.568,ppt,-25.568,ppt,90.50,,-,,54025.5,,2948.4,,5.46,,-22.949,ppt,-22.949,ppt,65.33,,-,,54269.1,,2568.1,,4.73,,-24.187,ppt,-24.187,ppt,53.99,,-,,49294.7,,2378.9,,4.83,,1.109,ppt,1.109,ppt,1091.09,,-,,66767.8,,2984.2,,4.47,,-87.747,ppt,-87.747,ppt,17.29,,-,,54032.3,,1324.1,,2.45,,-22.983,ppt,-22.983,ppt,29.30,,-,,48301.4,,994.8,,2.06,,6.160,ppt,6.160,ppt,82.13,,-,,1254.1,,24.8,,1.98,,,,,,,,-,,47676.1,,1566.7,,3.29,,9.505,ppt,9.505,ppt,83.82,,-,,44643.5,,1189.0,,2.66,,24.927,ppt,24.927,ppt,24.26,,-,,43740.6,,224.3,,0.51,,29.519,ppt,29.519,ppt,3.86,,-,,42139.1,,202.4,,0.48,,37.663,ppt,37.663,ppt,2.73,,-,,47605.6,,592.9,,1.25,,9.864,ppt,9.864,ppt,30.57,,-,,73425.7,,2040.6,,2.78,,-121.439,ppt,-121.439,ppt,8.54,,-,,48647.8,,1028.5,,2.11,,4.564,ppt,4.564,ppt,114.59,,-,,46785.9,,1166.4,,2.49,,14.033,ppt,14.033,ppt,42.27,,
Ti49(LR),-,,926.0,,70.8,,7.64,,,,,,,,-,,32595.7,,344.0,,1.06,,,,,,,,-,,26424.3,,63.8,,0.24,,,,,,,,-,,23857.0,,283.7,,1.19,,,,,,,,-,,22182.4,,85.1,,0.38,,,,,,,,-,,18532.8,,389.9,,2.10,,,,,,,,-,,6343.2,,761.7,,12.01,,,,,,,,-,,607.9,,53.0,,8.72,,,,,,,,-,,27592.7,,297.9,,1.08,,-3.651,ppt,-3.651,ppt,38.58,,-,,35425.1,,1848.2,,5.22,,-40.693,ppt,-40.693,ppt,21.48,,-,,28934.3,,535.5,,1.85,,-9.996,ppt,-9.996,ppt,25.33,,-,,35224.4,,720.0,,2.04,,-39.744,ppt,-39.744,ppt,8.57,,-,,29343.1,,227.1,,0.77,,-11.929,ppt,-11.929,ppt,9.00,,-,,29124.9,,1152.5,,3.96,,-10.898,ppt,-10.898,ppt,50.02,,-,,28610.7,,35.5,,0.12,,-8.466,ppt,-8.466,ppt,1.98,,-,,28849.0,,698.7,,2.42,,-9.593,ppt,-9.593,ppt,34.44,,-,,648.0,,46.0,,7.10,,,,,,,,-,,29137.5,,666.7,,2.29,,-10.767,ppt,-10.767,ppt,29.29,,-,,27840.9,,24.9,,0.09,,-4.635,ppt,-4.635,ppt,2.54,,-,,28380.2,,425.6,,1.50,,-7.186,ppt,-7.186,ppt,28.01,,-,,28630.9,,106.4,,0.37,,-8.371,ppt,-8.371,ppt,6.01,,-,,25988.0,,120.6,,0.46,,4.127,ppt,4.127,ppt,13.81,,-,,33606.6,,1695.6,,5.05,,-31.903,ppt,-31.903,ppt,25.14,,-,,27116.3,,78.0,,0.29,,-1.208,ppt,-1.208,ppt,30.54,,-,,25787.5,,113.5,,0.44,,5.076,ppt,5.076,ppt,10.57,,-,,705.6,,92.1,,13.05,,,,,,,,-,,25308.6,,138.2,,0.55,,7.613,ppt,7.613,ppt,8.59,,-,,23308.0,,88.6,,0.38,,17.074,ppt,17.074,ppt,2.45,,-,,22924.3,,382.8,,1.67,,18.889,ppt,18.889,ppt,9.58,,-,,22483.2,,163.1,,0.73,,20.975,ppt,20.975,ppt,3.68,,-,,24007.5,,829.8,,3.46,,13.767,ppt,13.767,ppt,28.51,,-,,34419.3,,1901.4,,5.52,,-35.474,ppt,-35.474,ppt,25.35,,-,,25757.5,,879.3,,3.41,,5.490,ppt,5.490,ppt,75.74,,-,,24869.9,,141.9,,0.57,,9.688,ppt,9.688,ppt,6.93,,
Y89(LR),-,,15.3,,13.7,,90.00,,,,,,,,-,,2967.0,,102.8,,3.46,,,,,,,,-,,8016.5,,17.7,,0.22,,,,,,,,-,,20402.5,,120.5,,0.59,,,,,,,,-,,60952.3,,742.2,,1.22,,,,,,,,-,,199675.4,,2078.0,,1.04,,,,,,,,-,,608546.4,,5787.0,,0.95,,,,,,,,-,,49.4,,55.8,,112.82,,,,,,,,-,,44457.5,,1799.4,,4.05,,846.800,ppt,846.800,ppt,3.62,,-,,1109720.0,,3523.1,,0.32,,18970.815,ppt,18970.815,ppt,0.32,,-,,62087.6,,529.4,,0.85,,1146.752,ppt,1146.752,ppt,0.79,,-,,654780.0,,4026.5,,0.61,,11230.620,ppt,11230.620,ppt,0.61,,-,,18896.3,,436.0,,2.31,,411.909,ppt,411.909,ppt,1.80,,-,,227708.8,,1749.1,,0.77,,3964.575,ppt,3964.575,ppt,0.75,,-,,32909.2,,404.4,,1.23,,650.321,ppt,650.321,ppt,1.06,,-,,265522.0,,2795.1,,1.05,,4607.916,ppt,4607.916,ppt,1.03,,-,,12.5,,5.9,,47.14,,,,,,,,-,,43411.1,,993.6,,2.29,,829.624,ppt,829.624,ppt,2.04,,-,,90200.8,,718.4,,0.80,,1625.689,ppt,1625.689,ppt,0.75,,-,,40663.5,,10.6,,0.03,,782.878,ppt,782.878,ppt,0.02,,-,,80702.7,,1048.4,,1.30,,1464.092,ppt,1464.092,ppt,1.22,,-,,21059.3,,375.8,,1.78,,449.339,ppt,449.339,ppt,1.42,,-,,273904.0,,3008.3,,1.10,,4751.153,ppt,4751.153,ppt,1.08,,-,,14926.5,,17.7,,0.12,,344.998,ppt,344.998,ppt,0.09,,-,,24741.9,,329.9,,1.33,,511.994,ppt,511.994,ppt,1.10,,-,,11.1,,15.7,,141.42,,,,,,,,-,,63.6,,12.2,,19.14,,92.149,ppt,92.149,ppt,0.22,,-,,60.0,,21.2,,35.36,,92.088,ppt,92.088,ppt,0.39,,-,,63.9,,19.6,,30.74,,92.154,ppt,92.154,ppt,0.36,,-,,80.6,,19.6,,24.38,,92.438,ppt,92.438,ppt,0.36,,-,,46517.9,,624.6,,1.34,,882.508,ppt,882.508,ppt,1.20,,-,,747716.8,,7073.3,,0.95,,12812.467,ppt,12812.467,ppt,0.94,,-,,128.9,,1.6,,1.22,,93.260,ppt,93.260,ppt,0.03,,-,,50.0,,0.0,,0.00,,91.918,ppt,91.918,ppt,0.00,,
