,Blank-1,,,,,,,,,,,,,,TEA-5,,,,,,,,,,,,,,TEA-4,,,,,,,,,,,,,,TEA-3,,,,,,,,,,,,,,TEA-2,,,,,,,,,,,,,,TEA-1,,,,,,,,,,,,,,TEA-0,,,,,,,,,,,,,,Blank-2,,,,,,,,,,,,,,RSES100 z2.18a L1,,,,,,,,,,,,,,RSES100 z2.18a L2,,,,,,,,,,,,,,RSES100 z2.18a R,,,,,,,,,,,,,,RSES100 z6.13a L1,,,,,,,,,,,,,,RSES100 z6.13a L2,,,,,,,,,,,,,,RSES100 z6.13a R,,,,,,,,,,,,,,RSES100 z6.13b L1,,,,,,,,,,,,,,RSES100 z6.13b L2,,,,,,,,,,,,,,Blank-3,,,,,,,,,,,,,,RSES100 z6.13b R,,,,,,,,,,,,,,RSES100 z9.14b L1,,,,,,,,,,,,,,RSES100 z9.14b L2,,,,,,,,,,,,,,RSES100 z9.14b R,,,,,,,,,,,,,,RSES100 z9.14c L1,,,,,,,,,,,,,,RSES100 z9.14c L2,,,,,,,,,,,,,,RSES100 z9.14c R,,,,,,,,,,,,,,RSES100 z9.14d L1,,,,,,,,,,,,,,Blank-4,,,,,,,,,,,,,,RSES100 z9.14d L2,,,,,,,,,,,,,,RSES100 z9.14d R,,,,,,,,,,,,,,RSES100 z15.2 L1,,,,,,,,,,,,,,RSES100 z15.2 L2,,,,,,,,,,,,,,RSES100 z15.2 R,,,,,,,,,,,,,,RSES100 z17.1 L1,,,,,,,,,,,,,,RSES100 z17.1 L2,,,,,,,,,,,,,,RSES100 z17.1 R,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isotope,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,
,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sc45(LR),-,,625087.2,,22800.5,,3.65,,,,,,,,-,,682044.8,,30732.6,,4.51,,,,,,,,-,,662435.2,,21380.6,,3.23,,,,,,,,-,,674728.0,,10795.5,,1.60,,,,,,,,-,,863283.2,,49375.3,,5.72,,,,,,,,-,,1158515.2,,18694.8,,1.61,,,,,,,,-,,2042006.4,,19513.9,,0.96,,,,,,,,-,,738308.8,,4905.6,,0.66,,,,,,,,-,,818442.4,,17281.7,,2.11,,337.820,ppt,337.820,ppt,38.24,,-,,772558.4,,14282.4,,1.85,,-5.150,ppt,-5.150,ppt,2072.84,,-,,1207859.2,,9241.0,,0.77,,3248.608,ppt,3248.608,ppt,2.13,,-,,695259.2,,43005.7,,6.19,,-582.941,ppt,-582.941,ppt,55.14,,-,,599129.6,,17778.4,,2.97,,-1301.485,ppt,-1301.485,ppt,10.21,,-,,606669.6,,13715.6,,2.26,,-1245.125,ppt,-1245.125,ppt,8.23,,-,,598470.4,,943.6,,0.16,,-1306.412,ppt,-1306.412,ppt,0.54,,-,,594760.0,,3672.4,,0.62,,-1334.146,ppt,-1334.146,ppt,2.06,,-,,549733.6,,7475.0,,1.36,,,,,,,,-,,511993.6,,8368.8,,1.63,,-543.253,ppt,-543.253,ppt,11.51,,-,,537485.2,,17409.0,,3.24,,-352.711,ppt,-352.711,ppt,36.89,,-,,509006.0,,7555.9,,1.48,,-565.585,ppt,-565.585,ppt,9.99,,-,,524876.8,,12242.6,,2.33,,-446.955,ppt,-446.955,ppt,20.47,,-,,646112.8,,44362.2,,6.87,,459.252,ppt,459.252,ppt,72.20,,-,,589263.2,,591.7,,0.10,,34.316,ppt,34.316,ppt,12.89,,-,,671373.6,,9789.8,,1.46,,648.070,ppt,648.070,ppt,11.29,,-,,552916.8,,13578.7,,2.46,,-237.363,ppt,-237.363,ppt,42.76,,-,,507333.2,,2874.2,,0.57,,,,,,,,-,,509350.0,,13255.7,,2.60,,-246.082,ppt,-246.082,ppt,40.26,,-,,472136.8,,9135.8,,1.93,,-524.241,ppt,-524.241,ppt,13.03,,-,,575431.2,,17643.7,,3.07,,247.858,ppt,247.858,ppt,53.21,,-,,559695.6,,845.7,,0.15,,130.238,ppt,130.238,ppt,4.85,,-,,697004.0,,6407.0,,0.92,,1156.582,ppt,1156.582,ppt,4.14,,-,,617844.8,,2192.6,,0.35,,564.888,ppt,564.888,ppt,2.90,,-,,590582.4,,1701.6,,0.29,,361.109,ppt,361.109,ppt,3.52,,-,,646547.2,,10320.4,,1.60,,779.431,ppt,779.431,ppt,9.90,,
Ti48(LR),-,,24350.3,,1208.1,,4.96,,,,,,,,-,,30530.3,,1707.8,,5.59,,,,,,,,-,,32307.8,,2803.0,,8.68,,,,,,,,-,,30182.5,,3276.4,,10.86,,,,,,,,-,,33762.2,,1992.9,,5.90,,,,,,,,-,,26840.1,,1750.2,,6.52,,,,,,,,-,,23505.7,,335.0,,1.43,,,,,,,,-,,24882.2,,56.7,,0.23,,,,,,,,-,,53771.4,,56.2,,0.10,,-255.817,ppt,-255.817,ppt,0.26,,-,,40863.9,,1464.6,,3.58,,-102.488,ppt,-102.488,ppt,16.98,,-,,60489.3,,1951.3,,3.23,,-335.619,ppt,-335.619,ppt,6.91,,-,,301406.8,,7319.4,,2.43,,-3197.481,ppt,-3197.481,ppt,2.72,,-,,68633.3,,2474.7,,3.61,,-432.362,ppt,-432.362,ppt,6.80,,-,,37904.9,,1533.4,,4.05,,-67.338,ppt,-67.338,ppt,27.05,,-,,51034.8,,132.3,,0.26,,-223.308,ppt,-223.308,ppt,0.70,,-,,49145.1,,2190.4,,4.46,,-200.861,ppt,-200.861,ppt,12.95,,-,,25499.1,,1030.1,,4.04,,,,,,,,-,,32337.6,,5069.5,,15.68,,6.124,ppt,6.124,ppt,983.42,,-,,43551.1,,2584.6,,5.93,,-127.081,ppt,-127.081,ppt,24.16,,-,,39129.3,,1261.4,,3.22,,-74.555,ppt,-74.555,ppt,20.10,,-,,38658.9,,3256.4,,8.42,,-68.967,ppt,-68.967,ppt,56.09,,-,,77123.4,,2786.8,,3.61,,-525.888,ppt,-525.888,ppt,6.30,,-,,118875.6,,1417.3,,1.19,,-1021.863,ppt,-1021.863,ppt,1.65,,-,,41953.8,,3143.4,,7.49,,-108.108,ppt,-108.108,ppt,34.54,,-,,44607.0,,3564.3,,7.99,,-139.625,ppt,-139.625,ppt,30.32,,-,,26939.1,,2973.6,,11.04,,,,,,,,-,,43021.7,,7084.6,,16.47,,-103.687,ppt,-103.687,ppt,81.17,,-,,33610.5,,533.4,,1.59,,8.109,ppt,8.109,ppt,78.14,,-,,62114.5,,2912.2,,4.69,,-330.491,ppt,-330.491,ppt,10.47,,-,,41354.7,,798.7,,1.93,,-83.884,ppt,-83.884,ppt,11.31,,-,,46468.2,,2122.6,,4.57,,-144.628,ppt,-144.628,ppt,17.43,,-,,57703.9,,4775.3,,8.28,,-278.097,ppt,-278.097,ppt,20.40,,-,,39989.1,,896.9,,2.24,,-67.663,ppt,-67.663,ppt,15.75,,-,,47876.1,,110.4,,0.23,,-161.353,ppt,-161.353,ppt,0.81,,
Ti49(LR),-,,14554.8,,616.2,,4.23,,,,,,,,-,,15975.4,,951.1,,5.95,,,,,,,,-,,15411.2,,993.8,,6.45,,,,,,,,-,,14449.0,,723.0,,5.00,,,,,,,,-,,14554.8,,1278.7,,8.79,,,,,,,,-,,10177.7,,473.7,,4.65,,,,,,,,-,,3183.5,,46.2,,1.45,,,,,,,,-,,13557.5,,1008.0,,7.44,,,,,,,,-,,16955.3,,1104.3,,6.51,,-19.780,ppt,-19.780,ppt,45.08,,-,,16648.0,,1474.7,,8.86,,-17.299,ppt,-17.299,ppt,68.84,,-,,20484.8,,659.1,,3.22,,-48.282,ppt,-48.282,ppt,11.02,,-,,36285.4,,1433.5,,3.95,,-175.873,ppt,-175.873,ppt,6.58,,-,,18335.8,,997.4,,5.44,,-30.928,ppt,-30.928,ppt,26.04,,-,,16391.1,,377.6,,2.30,,-15.224,ppt,-15.224,ppt,20.03,,-,,17305.5,,1065.2,,6.15,,-22.608,ppt,-22.608,ppt,38.04,,-,,17224.8,,851.4,,4.94,,-21.957,ppt,-21.957,ppt,31.31,,-,,15139.1,,630.5,,4.16,,,,,,,,-,,14826.9,,1221.7,,8.24,,10.179,ppt,10.179,ppt,96.92,,-,,16348.3,,445.3,,2.72,,-2.107,ppt,-2.107,ppt,170.68,,-,,15642.9,,60.6,,0.39,,3.590,ppt,3.590,ppt,13.63,,-,,15197.1,,1182.5,,7.78,,7.189,ppt,7.189,ppt,132.83,,-,,20512.6,,655.6,,3.20,,-35.734,ppt,-35.734,ppt,14.82,,-,,22802.8,,609.3,,2.67,,-54.227,ppt,-54.227,ppt,9.07,,-,,18134.3,,962.0,,5.30,,-16.529,ppt,-16.529,ppt,47.00,,-,,16489.3,,937.0,,5.68,,-3.246,ppt,-3.246,ppt,233.10,,-,,14502.0,,1253.8,,8.65,,,,,,,,-,,15506.9,,1620.7,,10.45,,-0.458,ppt,-0.458,ppt,2857.31,,-,,14980.6,,1132.9,,7.56,,3.792,ppt,3.792,ppt,241.23,,-,,18313.1,,1200.5,,6.56,,-23.118,ppt,-23.118,ppt,41.93,,-,,16753.8,,192.3,,1.15,,-10.526,ppt,-10.526,ppt,14.75,,-,,20401.7,,1703.3,,8.35,,-39.983,ppt,-39.983,ppt,34.40,,-,,19333.3,,933.6,,4.83,,-31.357,ppt,-31.357,ppt,24.04,,-,,16796.6,,580.7,,3.46,,-10.872,ppt,-10.872,ppt,43.13,,-,,19396.5,,2248.2,,11.59,,-31.866,ppt,-31.866,ppt,56.97,,
Mn55(LR),-,,14202.2,,673.2,,4.74,,,,,,,,-,,11487.3,,317.0,,2.76,,,,,,,,-,,10155.1,,320.5,,3.16,,,,,,,,-,,11086.8,,7.1,,0.06,,,,,,,,-,,10598.3,,633.9,,5.98,,,,,,,,-,,12736.5,,780.0,,6.12,,,,,,,,-,,20399.2,,659.2,,3.23,,,,,,,,-,,8155.8,,227.9,,2.79,,,,,,,,-,,13310.6,,188.7,,1.42,,64.725,ppt,64.725,ppt,2.08,,-,,6683.0,,281.3,,4.21,,17.528,ppt,17.528,ppt,11.43,,-,,5728.8,,14.2,,0.25,,10.734,ppt,10.734,ppt,0.94,,-,,38731.4,,1790.3,,4.62,,245.754,ppt,245.754,ppt,5.19,,-,,7984.6,,313.5,,3.93,,26.798,ppt,26.798,ppt,8.33,,-,,5278.0,,117.5,,2.23,,7.523,ppt,7.523,ppt,11.12,,-,,10145.0,,220.8,,2.18,,42.182,ppt,42.182,ppt,3.73,,-,,6187.0,,477.2,,7.71,,13.996,ppt,13.996,ppt,24.28,,-,,6390.9,,167.4,,2.62,,,,,,,,-,,20351.2,,171.0,,0.84,,127.432,ppt,127.432,ppt,0.96,,-,,6227.2,,512.7,,8.23,,26.851,ppt,26.851,ppt,13.60,,-,,5474.4,,131.8,,2.41,,21.490,ppt,21.490,ppt,4.37,,-,,6959.9,,331.1,,4.76,,32.069,ppt,32.069,ppt,7.35,,-,,14922.5,,395.3,,2.65,,88.773,ppt,88.773,ppt,3.17,,-,,14121.6,,60.5,,0.43,,83.069,ppt,83.069,ppt,0.52,,-,,5323.4,,81.8,,1.54,,20.415,ppt,20.415,ppt,2.86,,-,,6861.8,,71.3,,1.04,,31.370,ppt,31.370,ppt,1.62,,-,,5414.0,,131.7,,2.43,,,,,,,,-,,10122.4,,153.1,,1.51,,61.546,ppt,61.546,ppt,1.77,,-,,4394.4,,49.8,,1.13,,20.756,ppt,20.756,ppt,1.71,,-,,11134.7,,274.2,,2.46,,68.755,ppt,68.755,ppt,2.84,,-,,5401.4,,64.1,,1.19,,27.927,ppt,27.927,ppt,1.63,,-,,4120.0,,274.1,,6.65,,18.802,ppt,18.802,ppt,10.38,,-,,8405.1,,281.2,,3.35,,49.318,ppt,49.318,ppt,4.06,,-,,4663.8,,88.8,,1.91,,22.674,ppt,22.674,ppt,2.79,,-,,6081.2,,505.7,,8.32,,32.768,ppt,32.768,ppt,10.99,,
